ID_CUENTA,ID_CLIENTE,MONTO,CUOTAS,NRO_COMPROBANTE,ID_PRODUCTO,ID_CANAL_DESEMBOLSO,ID_TIPO_FINANCIACION,DIAS_MORA,ID_ESTADO_CREDITO,ID_CANAL_SOLICITUD,FECHA_OTORGAMIENTO
24190,1776,66238.03,20,17182361621,CB-1,TR333,4,6,1,2,2021-12-22
24180,357,27449.27,34,17182360202,CBR-2,BV111,4,80,2,1,2021-12-21
24181,375,84753.66,18,17182360220,CC-1,TR333,1,0,1,2,2021-12-21
24182,401,43023.89,47,17182360246,CCR-2,BV111,1,5,1,1,2021-12-21
24183,1223,87618.08,33,17182361068,CB-1,TR333,4,114,2,3,2021-12-21
24184,1263,29743.61,27,17182361108,CC-1,TR333,1,4,1,3,2021-12-21
24185,1275,92171.47,35,17182361120,CC-1,TR333,1,161,2,1,2021-12-21
24186,1495,49570.65,29,17182361340,CCR-2,TR333,1,165,2,3,2021-12-21
24176,374,94015.48,43,17182360219,CC-1,TR333,1,199,2,1,2021-12-20
24177,927,61643.55,40,17182360772,CO-1,BV111,2,6,1,3,2021-12-20
24178,1570,97130.67,39,17182361415,CPR-2,EF222,3,0,1,1,2021-12-20
24179,1640,68404.71,42,17182361485,CB-1,EF222,4,0,1,3,2021-12-20
24171,364,89255.33,16,17182360209,CC-1,TR333,1,124,2,3,2021-12-19
24172,371,19969,41,17182360216,CBR-2,BV111,4,168,2,3,2021-12-19
24173,382,53107.21,21,17182360227,CC-1,EF222,1,44,2,1,2021-12-19
24174,385,37143.02,18,17182360230,CCR-2,TR333,1,2,1,2,2021-12-19
24175,1703,66129.69,18,17182361548,CBR-2,TR333,4,41,2,1,2021-12-19
24164,342,25307.19,29,17182360187,CC-1,EF222,1,6,1,2,2021-12-18
24165,361,34843.46,40,17182360206,CCR-2,BV111,1,2,1,2,2021-12-18
24166,363,67357.87,36,17182360208,CC-1,TR333,1,86,2,3,2021-12-18
24167,367,76789.45,48,17182360212,CCR-2,BV111,1,4,1,2,2021-12-18
24168,377,26256.21,19,17182360222,CC-1,BV111,1,218,2,3,2021-12-18
24169,852,41065.56,15,17182360697,CPR-4,EF222,5,161,2,3,2021-12-18
24170,1795,35944.56,20,17182361640,COR-2,TR333,2,0,1,1,2021-12-18
24161,332,91038.44,37,17182360177,CC-1,EF222,1,78,2,3,2021-12-17
24162,360,66195.25,43,17182360205,CCR-2,EF222,1,176,2,2,2021-12-17
24163,381,60450.51,34,17182360226,CC-1,BV111,1,126,2,2,2021-12-17
24157,8,53406.3,40,17182359853,CC-1,TR333,1,223,2,3,2021-12-16
24158,68,62219.48,30,17182359913,CC-1,TR333,1,1,1,3,2021-12-16
24159,330,65457.81,37,17182360175,CCR-2,EF222,1,1,1,1,2021-12-16
24160,347,75413.91,47,17182360192,CC-1,BV111,1,21,2,2,2021-12-16
24149,214,33042.51,44,17182360059,CC-1,TR333,1,35,2,3,2021-12-15
24150,333,67758.67,27,17182360178,CC-1,TR333,1,211,2,3,2021-12-15
24151,345,56729.26,24,17182360190,CC-1,TR333,1,17,2,2,2021-12-15
24152,379,91291.33,48,17182360224,CB-1,BV111,4,217,2,3,2021-12-15
24153,461,33934.34,32,17182360306,CO-1,BV111,2,1,1,1,2021-12-15
24154,565,74178.45,22,17182360410,CCR-2,TR333,1,5,1,1,2021-12-15
24155,1203,83557.52,36,17182361048,CC-1,TR333,1,99,2,1,2021-12-15
24156,1620,28429.34,29,17182361465,CB-1,EF222,4,2,1,1,2021-12-15
24144,362,58564.77,39,17182360207,CC-1,EF222,1,152,2,2,2021-12-14
24145,373,27842.37,22,17182360218,CC-1,TR333,1,1,1,3,2021-12-14
24146,383,66548.36,46,17182360228,CO-1,TR333,2,4,1,3,2021-12-14
24147,864,61525.73,44,17182360709,CBR-2,TR333,4,196,2,3,2021-12-14
24148,1679,16416.26,42,17182361524,CCR-2,BV111,1,144,2,3,2021-12-14
24135,335,52614.44,41,17182360180,CB-1,TR333,4,102,2,1,2021-12-13
24136,339,34174.98,15,17182360184,CC-1,BV111,1,3,1,1,2021-12-13
24137,346,24899.54,13,17182360191,CC-1,TR333,1,93,2,3,2021-12-13
24138,350,25363.05,12,17182360195,CCR-2,EF222,1,0,1,1,2021-12-13
24139,376,51514.71,25,17182360221,CC-1,TR333,1,172,2,2,2021-12-13
24140,893,70534.46,30,17182360738,COR-2,TR333,2,1,1,1,2021-12-13
24141,1207,68569.53,42,17182361052,CCR-2,BV111,1,57,2,3,2021-12-13
24142,1721,64958.97,31,17182361566,CCR-2,BV111,1,6,1,2,2021-12-13
24143,1859,11111.19,13,17182361704,CC-1,BV111,1,159,2,1,2021-12-13
24129,248,15114.02,33,17182360093,CC-1,TR333,1,2,1,3,2021-12-12
24130,334,46436.92,37,17182360179,CBR-2,TR333,4,2,1,3,2021-12-12
24131,365,65626.03,15,17182360210,CC-1,TR333,1,3,1,3,2021-12-12
24132,368,75075.31,45,17182360213,CC-1,TR333,1,175,2,2,2021-12-12
24133,1217,39941.69,39,17182361062,CCR-2,BV111,1,3,1,2,2021-12-12
24134,1760,82124.24,33,17182361605,CBR-2,EF222,4,45,2,3,2021-12-12
24128,391,25790.9,36,17182360236,CBR-2,BV111,4,3,1,3,2021-12-11
24124,174,62080.77,19,17182360019,CC-1,TR333,1,21,2,3,2021-12-10
24125,209,84536.2,12,17182360054,CB-1,BV111,4,6,1,1,2021-12-10
24126,448,96351.19,34,17182360293,CPR-4,TR333,5,231,2,3,2021-12-10
24127,1336,31247.45,20,17182361181,CBR-2,TR333,4,3,1,1,2021-12-10
24119,228,41892.9,14,17182360073,CC-1,TR333,1,4,1,1,2021-12-09
24120,591,27293.3,29,17182360436,CB-1,BV111,4,197,2,1,2021-12-09
24121,618,63425.83,38,17182360463,CBR-2,TR333,4,81,2,3,2021-12-09
24122,885,30120.47,39,17182360730,COR-2,TR333,2,1,1,2,2021-12-09
24123,955,64426.47,28,17182360800,CC-1,TR333,1,5,1,2,2021-12-09
24115,621,16825.72,18,17182360466,CCR-2,BV111,1,36,2,1,2021-12-08
24116,956,86968.71,31,17182360801,CC-1,TR333,1,3,1,3,2021-12-08
24117,1630,69650.48,26,17182361475,CO-1,EF222,2,132,2,3,2021-12-08
24118,1848,35103.79,13,17182361693,CO-1,TR333,2,149,2,2,2021-12-08
24114,1456,34511.42,41,17182361301,CBR-2,TR333,4,153,2,2,2021-12-07
24111,157,37078.14,16,17182360002,CC-1,BV111,1,11,2,1,2021-12-06
24112,702,65264.84,14,17182360547,CBR-2,EF222,4,0,1,3,2021-12-06
24113,1088,36370.67,42,17182360933,CBR-2,TR333,4,29,2,3,2021-12-06
24107,20,41785.17,20,17182359865,CC-1,EF222,1,4,1,3,2021-12-05
24108,1846,87254.89,29,17182361691,CCR-2,TR333,1,133,2,3,2021-12-05
24109,1872,63406.35,46,17182361717,CB-1,EF222,4,91,2,2,2021-12-05
24110,1978,76933.13,15,17182361823,CC-1,TR333,1,6,1,1,2021-12-05
24106,7,18043.72,39,17182359852,CC-1,BV111,1,2,1,3,2021-12-04
24104,232,21559.79,41,17182360077,CC-1,EF222,1,5,1,2,2021-12-03
24105,530,19846.02,25,17182360375,CC-1,EF222,1,183,2,3,2021-12-03
24103,1447,71932.3,39,17182361292,CPR-2,BV111,3,173,2,2,2021-12-02
24102,1481,47334.75,46,17182361326,CBR-2,BV111,4,61,2,3,2021-12-01
24100,1488,50923.02,19,17182361333,CO-1,TR333,2,5,1,3,2021-11-30
24101,1600,42176.31,44,17182361445,CBR-2,EF222,4,5,1,3,2021-11-30
24097,595,84357.77,16,17182360440,CC-1,TR333,1,2,1,2,2021-11-29
24098,1326,99762.07,32,17182361171,CBR-2,TR333,4,182,2,2,2021-11-29
24099,1597,93801.92,38,17182361442,CPR-2,BV111,3,163,2,2,2021-11-29
24094,969,76414.33,14,17182360814,CO-1,BV111,2,1,1,3,2021-11-28
24095,1444,24397.87,32,17182361289,CB-1,TR333,4,6,1,2,2021-11-28
24096,1936,48702.06,44,17182361781,CC-1,TR333,1,4,1,3,2021-11-28
24092,991,59724.44,31,17182360836,CO-1,BV111,2,0,1,1,2021-11-27
24093,1365,28587.61,26,17182361210,CCR-2,TR333,1,229,2,3,2021-11-27
24089,1181,22460.8,46,17182361026,CBR-2,BV111,4,233,2,1,2021-11-26
24090,1225,12956.81,12,17182361070,CC-1,TR333,1,208,2,2,2021-11-26
24091,1591,85831.07,13,17182361436,CBR-2,BV111,4,233,2,1,2021-11-26
24088,1299,83315.81,46,17182361144,CB-1,BV111,4,76,2,2,2021-11-25
24085,484,55326.86,32,17182360329,CC-1,TR333,1,136,2,2,2021-11-22
24086,543,66410.33,12,17182360388,CB-1,TR333,4,51,2,3,2021-11-22
24087,1913,69048.57,38,17182361758,CP-1,TR333,3,153,2,3,2021-11-22
24083,514,13586.45,26,17182360359,CO-1,TR333,2,85,2,3,2021-11-20
24084,582,89137.92,44,17182360427,CO-1,EF222,2,4,1,1,2021-11-20
24082,978,46059.41,33,17182360823,CBR-2,TR333,4,228,2,3,2021-11-19
24081,1303,72828.99,26,17182361148,CBR-2,TR333,4,94,2,1,2021-11-17
24078,1160,97112.81,31,17182361005,CC-1,EF222,1,3,1,3,2021-11-15
24079,1750,50829.84,35,17182361595,CCR-2,EF222,1,0,1,1,2021-11-15
24080,1972,63317.75,32,17182361817,CC-1,EF222,1,89,2,2,2021-11-15
24074,631,54000.36,20,17182360476,COR-2,BV111,2,205,2,1,2021-11-14
24075,716,73338.24,34,17182360561,CBR-2,TR333,4,6,1,3,2021-11-14
24076,987,85420.04,16,17182360832,CO-1,BV111,2,132,2,2,2021-11-14
24077,1283,55739.89,32,17182361128,CC-1,TR333,1,209,2,2,2021-11-14
24073,1629,26461.36,24,17182361474,CC-1,BV111,1,106,2,2,2021-11-13
24071,719,85462.23,13,17182360564,CBR-2,BV111,4,3,1,2,2021-11-12
24072,1078,71342.55,34,17182360923,CCR-2,TR333,1,0,1,3,2021-11-12
24066,496,26367.99,48,17182360341,CP-3,TR333,5,6,1,2,2021-11-11
24067,556,36963.29,39,17182360401,CC-1,TR333,1,4,1,3,2021-11-11
24068,1621,37822.71,17,17182361466,CP-1,BV111,3,95,2,1,2021-11-11
24069,1689,92868.49,27,17182361534,CBR-2,BV111,4,2,1,2,2021-11-11
24070,1895,17740.13,15,17182361740,CC-1,TR333,1,2,1,2,2021-11-11
24065,1652,67022.17,27,17182361497,COR-2,EF222,2,5,1,2,2021-11-10
24064,1636,58273.23,34,17182361481,CCR-2,TR333,1,36,2,1,2021-11-09
24062,607,82435.77,43,17182360452,CC-1,BV111,1,42,2,2,2021-11-08
24063,857,16960.48,39,17182360702,CB-1,BV111,4,5,1,2,2021-11-08
24060,1313,80036.95,19,17182361158,CO-1,TR333,2,5,1,1,2021-11-07
24061,1765,67509.85,38,17182361610,CC-1,TR333,1,2,1,1,2021-11-07
24058,573,92117.95,18,17182360418,CC-1,TR333,1,2,1,2,2021-11-05
24059,632,25870.33,28,17182360477,CP-1,EF222,3,1,1,2,2021-11-05
24057,1155,90224.85,40,17182361000,COR-2,TR333,2,3,1,1,2021-11-03
24055,1952,72735.5,34,17182361797,CPR-2,EF222,3,2,1,3,2021-11-01
24056,1994,54318.63,23,17182361839,CC-1,TR333,1,224,2,2,2021-11-01
24053,1804,28460.63,32,17182361649,CPR-2,TR333,3,165,2,1,2021-10-31
24054,1988,21474.79,28,17182361833,CC-1,TR333,1,77,2,1,2021-10-31
24049,781,20994.14,24,17182360626,CO-1,BV111,2,205,2,1,2021-10-30
24050,881,42947.72,41,17182360726,CO-1,BV111,2,6,1,3,2021-10-30
24051,1458,62803.25,21,17182361303,CO-1,TR333,2,68,2,2,2021-10-30
24052,1756,96586.7,40,17182361601,CP-1,TR333,3,5,1,3,2021-10-30
24048,748,19255.61,30,17182360593,CP-1,TR333,3,53,2,1,2021-10-29
24046,1532,16873.77,27,17182361377,COR-2,EF222,2,114,2,3,2021-10-28
24047,1873,69118.52,36,17182361718,CC-1,TR333,1,6,1,2,2021-10-28
24043,1024,52943.25,22,17182360869,CCR-2,TR333,1,0,1,1,2021-10-26
24044,1470,74469.65,42,17182361315,CCR-2,EF222,1,0,1,1,2021-10-26
24045,1927,17157.02,26,17182361772,CC-1,BV111,1,1,1,3,2021-10-26
24041,1330,40538.95,42,17182361175,COR-2,EF222,2,5,1,1,2021-10-25
24042,1798,89608.84,28,17182361643,COR-2,TR333,2,2,1,1,2021-10-25
24037,697,50823.65,24,17182360542,CCR-2,BV111,1,2,1,2,2021-10-24
24038,793,77996.62,31,17182360638,CBR-2,TR333,4,2,1,3,2021-10-24
24039,960,73702.02,48,17182360805,CBR-2,EF222,4,1,1,1,2021-10-24
24040,1145,69107.34,25,17182360990,CO-1,TR333,2,63,2,2,2021-10-24
24031,628,10658,31,17182360473,CBR-2,TR333,4,70,2,3,2021-10-22
24032,951,16542.85,41,17182360796,CC-1,BV111,1,87,2,3,2021-10-22
24033,1190,93550.51,21,17182361035,CBR-2,EF222,4,118,2,3,2021-10-22
24034,1414,65051.5,46,17182361259,COR-2,TR333,2,12,2,1,2021-10-22
24035,1685,73891.44,27,17182361530,CBR-2,TR333,4,2,1,2,2021-10-22
24036,1817,16047.44,39,17182361662,CBR-2,BV111,4,6,1,3,2021-10-22
24030,664,91834.58,44,17182360509,CB-1,TR333,4,4,1,2,2021-10-21
24029,1758,43553.95,21,17182361603,CBR-2,TR333,4,189,2,3,2021-10-20
24026,518,85856.24,40,17182360363,CPR-4,TR333,5,5,1,1,2021-10-19
24027,1199,58692.39,36,17182361044,CCR-2,BV111,1,196,2,3,2021-10-19
24028,1796,66928.25,28,17182361641,CPR-4,TR333,5,5,1,2,2021-10-19
24025,1081,21578.17,42,17182360926,CC-1,BV111,1,6,1,2,2021-10-18
24024,817,46465.34,35,17182360662,CC-1,BV111,1,180,2,1,2021-10-17
24021,554,57588.21,25,17182360399,CO-1,TR333,2,5,1,2,2021-10-15
24022,967,43410.54,19,17182360812,CO-1,BV111,2,0,1,2,2021-10-15
24023,1474,19523.62,48,17182361319,CBR-2,TR333,4,1,1,3,2021-10-15
24018,1374,28288.24,46,17182361219,COR-2,TR333,2,214,2,3,2021-10-14
24019,1568,29523.64,39,17182361413,CB-1,TR333,4,111,2,1,2021-10-14
24020,1863,55864.03,14,17182361708,CC-1,TR333,1,210,2,3,2021-10-14
24016,1754,68998.29,22,17182361599,CPR-2,TR333,3,150,2,1,2021-10-13
24017,1941,54703.83,36,17182361786,CBR-2,BV111,4,121,2,3,2021-10-13
24015,551,57336.75,29,17182360396,CC-1,BV111,1,2,1,3,2021-10-12
24014,1622,69298.68,31,17182361467,CBR-2,EF222,4,0,1,1,2021-10-11
24012,1148,86632.98,34,17182360993,COR-2,TR333,2,215,2,3,2021-10-10
24013,1833,37236.06,15,17182361678,CC-1,TR333,1,205,2,1,2021-10-10
24011,1507,88797.93,30,17182361352,CC-1,BV111,1,54,2,3,2021-10-09
24009,679,34381.21,29,17182360524,CB-1,BV111,4,6,1,2,2021-10-07
24010,788,40627.37,24,17182360633,CPR-2,TR333,3,238,2,3,2021-10-07
24008,1249,98285.91,15,17182361094,CBR-2,BV111,4,137,2,2,2021-10-06
24007,1770,82111.47,38,17182361615,CBR-2,EF222,4,91,2,1,2021-10-05
24005,676,57807.72,44,17182360521,CBR-2,TR333,4,11,2,2,2021-10-04
24006,1439,28425.9,18,17182361284,CO-1,BV111,2,237,2,3,2021-10-04
24003,1351,49075.01,44,17182361196,CO-1,BV111,2,1,1,3,2021-10-03
24004,1480,94894.34,17,17182361325,CCR-2,EF222,1,171,2,2,2021-10-03
24002,1881,46368.58,24,17182361726,CC-1,BV111,1,108,2,3,2021-10-02
24001,1304,98562,30,17182361149,CB-1,TR333,4,2,1,3,2021-10-01
23999,1230,27053.18,33,17182361075,CCR-2,EF222,1,0,1,2,2021-09-30
24000,1905,10186.3,33,17182361750,CC-1,TR333,1,5,1,3,2021-09-30
23997,657,70941.32,39,17182360502,CBR-2,BV111,4,139,2,1,2021-09-28
23998,1282,64295.03,41,17182361127,CC-1,EF222,1,5,1,1,2021-09-28
23996,1259,38596.75,36,17182361104,CBR-2,BV111,4,5,1,2,2021-09-27
23994,1420,91735.28,19,17182361265,CBR-2,EF222,4,4,1,2,2021-09-26
23995,1692,81772.29,20,17182361537,CO-1,EF222,2,2,1,3,2021-09-26
23992,1296,82612.57,34,17182361141,CO-1,TR333,2,2,1,1,2021-09-25
23993,1821,24233.38,12,17182361666,CC-1,BV111,1,4,1,2,2021-09-25
23990,982,94875.54,30,17182360827,COR-2,EF222,2,225,2,2,2021-09-24
23991,1505,92730.06,37,17182361350,CP-1,TR333,3,3,1,1,2021-09-24
23989,1657,30040.77,36,17182361502,CPR-2,BV111,3,5,1,3,2021-09-23
23986,950,14439.26,14,17182360795,CBR-2,EF222,4,72,2,3,2021-09-22
23987,1387,60541.32,41,17182361232,CBR-2,BV111,4,3,1,2,2021-09-22
23988,1903,71288.73,26,17182361748,CBR-2,TR333,4,62,2,2,2021-09-22
23982,977,83873.87,44,17182360822,CBR-2,BV111,4,2,1,3,2021-09-20
23983,1214,76810.8,35,17182361059,CO-1,TR333,2,4,1,3,2021-09-20
23984,1904,72561.82,19,17182361749,CBR-2,TR333,4,99,2,3,2021-09-20
23985,1940,24201.94,32,17182361785,CC-1,EF222,1,160,2,2,2021-09-20
23981,1619,75345.82,39,17182361464,COR-2,BV111,2,4,1,2,2021-09-19
23980,1694,66050.74,30,17182361539,CC-1,TR333,1,231,2,2,2021-09-18
23979,1133,59162.41,46,17182360978,CBR-2,TR333,4,3,1,2,2021-09-17
23976,936,57998.28,20,17182360781,CBR-2,TR333,4,1,1,3,2021-09-16
23977,983,19752.37,21,17182360828,CB-1,TR333,4,3,1,1,2021-09-16
23978,1517,84844.53,36,17182361362,CBR-2,BV111,4,4,1,3,2021-09-16
23974,1212,92611.08,16,17182361057,CO-1,EF222,2,6,1,3,2021-09-15
23975,1822,75172.01,37,17182361667,CC-1,EF222,1,6,1,3,2021-09-15
23971,755,12240.56,37,17182360600,CB-1,TR333,4,12,2,1,2021-09-14
23972,1208,79482.36,33,17182361053,CB-1,TR333,4,3,1,1,2021-09-14
23973,1318,96689.77,40,17182361163,CC-1,TR333,1,2,1,1,2021-09-14
23969,786,41639.33,17,17182360631,CP-1,TR333,3,2,1,1,2021-09-13
23970,1393,66338.86,27,17182361238,CCR-2,TR333,1,6,1,3,2021-09-13
23968,1166,74182.09,42,17182361011,CCR-2,TR333,1,0,1,1,2021-09-12
23967,1602,85768.19,40,17182361447,CBR-2,EF222,4,3,1,3,2021-09-11
23966,1113,62716.87,23,17182360958,CB-1,TR333,4,240,2,3,2021-09-10
23962,1147,26367.62,13,17182360992,COR-2,BV111,2,1,1,2,2021-09-09
23963,1688,20950.32,38,17182361533,CB-1,TR333,4,88,2,3,2021-09-09
23964,1896,89567.61,17,17182361741,CB-1,TR333,4,4,1,2,2021-09-09
23965,1966,62014.25,41,17182361811,CBR-2,TR333,4,177,2,3,2021-09-09
23959,1400,37580.33,39,17182361245,CC-1,EF222,1,231,2,2,2021-09-08
23960,1644,72143.56,40,17182361489,CBR-2,TR333,4,164,2,3,2021-09-08
23961,1924,22308.22,43,17182361769,CCR-2,TR333,1,2,1,1,2021-09-08
23957,587,66388.78,47,17182360432,COR-2,BV111,2,6,1,3,2021-09-06
23958,1366,61411.44,45,17182361211,CO-1,TR333,2,1,1,2,2021-09-06
23955,811,86720.76,29,17182360656,CP-1,BV111,3,3,1,1,2021-09-05
23956,833,52892.31,13,17182360678,CB-1,TR333,4,1,1,1,2021-09-05
23953,911,15257.22,29,17182360756,CC-1,BV111,1,4,1,3,2021-09-04
23954,1716,14092.72,30,17182361561,CBR-2,TR333,4,6,1,1,2021-09-04
23950,559,51400.64,33,17182360404,CBR-2,BV111,4,3,1,1,2021-09-03
23951,938,40092.83,20,17182360783,CC-1,TR333,1,206,2,3,2021-09-03
23952,1044,43683.93,24,17182360889,CBR-2,TR333,4,136,2,2,2021-09-03
23948,709,44878.09,48,17182360554,CBR-2,BV111,4,127,2,2,2021-09-02
23949,937,35747.82,39,17182360782,COR-2,BV111,2,5,1,1,2021-09-02
23944,1221,26237.54,44,17182361066,CO-1,BV111,2,6,1,1,2021-09-01
23945,1471,28472.93,30,17182361316,CBR-2,BV111,4,1,1,2,2021-09-01
23946,1579,22513.54,27,17182361424,CC-1,BV111,1,5,1,1,2021-09-01
23947,1581,31388.92,19,17182361426,CBR-2,BV111,4,225,2,3,2021-09-01
23942,930,69449.33,48,17182360775,CCR-2,EF222,1,4,1,2,2021-08-31
23943,1791,16280.8,13,17182361636,CB-1,BV111,4,1,1,2,2021-08-31
23938,619,65482.32,19,17182360464,CBR-2,BV111,4,117,2,1,2021-08-30
23939,1149,71665.88,15,17182360994,COR-2,BV111,2,1,1,3,2021-08-30
23940,1315,85916.22,32,17182361160,CC-1,TR333,1,35,2,1,2021-08-30
23941,1832,11908.98,15,17182361677,CCR-2,EF222,1,3,1,3,2021-08-30
23935,495,69955.02,39,17182360340,CC-1,TR333,1,2,1,3,2021-08-29
23936,586,94133.13,30,17182360431,CC-1,TR333,1,3,1,1,2021-08-29
23937,684,58202.23,40,17182360529,CBR-2,TR333,4,22,2,2,2021-08-29
23930,608,18155.98,25,17182360453,CPR-2,TR333,3,46,2,1,2021-08-28
23931,931,11126.67,36,17182360776,CC-1,BV111,1,212,2,1,2021-08-28
23932,1095,52908.95,26,17182360940,CC-1,TR333,1,2,1,3,2021-08-28
23933,1291,63758.45,41,17182361136,CBR-2,BV111,4,91,2,3,2021-08-28
23934,1747,30301.54,22,17182361592,CB-1,BV111,4,97,2,2,2021-08-28
23929,1084,42131.01,41,17182360929,CCR-2,TR333,1,3,1,3,2021-08-27
23928,1184,70921.68,28,17182361029,CBR-2,TR333,4,5,1,3,2021-08-26
23924,481,51941.13,40,17182360326,CC-1,BV111,1,6,1,2,2021-08-25
23925,576,29160.93,34,17182360421,CC-1,TR333,1,6,1,3,2021-08-25
23926,995,97561,20,17182360840,CBR-2,TR333,4,1,1,1,2021-08-25
23927,1839,45072.39,22,17182361684,CO-1,BV111,2,1,1,1,2021-08-25
23923,1020,23552.37,39,17182360865,CC-1,EF222,1,158,2,3,2021-08-24
23920,623,81561.95,31,17182360468,COR-2,TR333,2,3,1,3,2021-08-23
23921,1137,31417.75,34,17182360982,CB-1,BV111,4,232,2,2,2021-08-23
23922,1967,92100.44,37,17182361812,CC-1,BV111,1,6,1,3,2021-08-23
23919,641,99023.05,19,17182360486,CPR-2,BV111,3,46,2,3,2021-08-22
23913,503,44089.84,20,17182360348,CBR-2,TR333,4,1,1,2,2021-08-21
23914,568,72378.51,36,17182360413,CP-3,TR333,5,164,2,2,2021-08-21
23915,1404,30041.94,39,17182361249,COR-2,TR333,2,2,1,3,2021-08-21
23916,1596,14573.06,25,17182361441,CBR-2,TR333,4,0,1,1,2021-08-21
23917,1722,24508.59,24,17182361567,COR-2,EF222,2,6,1,3,2021-08-21
23918,1739,89874.07,46,17182361584,CBR-2,BV111,4,2,1,2,2021-08-21
23910,1027,53864.16,32,17182360872,CC-1,BV111,1,4,1,2,2021-08-20
23911,1648,65734.81,15,17182361493,COR-2,TR333,2,0,1,2,2021-08-20
23912,1866,18711.57,32,17182361711,CBR-2,TR333,4,224,2,1,2021-08-20
23907,1185,62591.29,40,17182361030,CO-1,TR333,2,163,2,1,2021-08-19
23908,1384,31053.19,26,17182361229,CP-1,TR333,3,123,2,2,2021-08-19
23909,1793,54475.07,21,17182361638,CB-1,TR333,4,1,1,1,2021-08-19
23905,1161,68352.3,32,17182361006,CC-1,BV111,1,6,1,3,2021-08-18
23906,1261,41117.64,43,17182361106,CBR-2,BV111,4,221,2,1,2021-08-18
23904,1746,22309.87,19,17182361591,CBR-2,TR333,4,5,1,1,2021-08-17
23900,1255,70028.59,29,17182361100,CBR-2,TR333,4,6,1,1,2021-08-16
23901,1549,23423.68,15,17182361394,CCR-2,BV111,1,1,1,1,2021-08-16
23902,1735,35308.64,24,17182361580,CBR-2,TR333,4,0,1,3,2021-08-16
23903,1917,45848.56,20,17182361762,CP-1,BV111,3,0,1,2,2021-08-16
23896,477,46715.17,41,17182360322,CC-1,BV111,1,1,1,2,2021-08-15
23897,745,54908.23,43,17182360590,CPR-2,TR333,3,3,1,3,2021-08-15
23898,958,80710.31,18,17182360803,CB-1,TR333,4,175,2,1,2021-08-15
23899,1232,97081.78,29,17182361077,CB-1,EF222,4,6,1,2,2021-08-15
23894,1110,60563.84,18,17182360955,CC-1,EF222,1,20,2,1,2021-08-14
